,id,User_region,User_level,User_purchase_amount,Order_from,Comment_time,Order_processing_speed,Sending_out_speed,Delivery_speed,If_delivered_on_original/promised_date,If_delivered_right_product,If_intact_in_transit,If_the_last_Km_is_difficult,If_the_last_Km_is_served,Distribution_staff_service_attitude,Installer_arrival_time,Installer_arrival_speed,Installation_speed,Installation_effect,Explaining_service,Installer_service_attitude,If_installer_has_any_charges,If_the_bill_is_complete,If_any_gifts,If_any_after-sales_processes,If_any_revisiting,If_any_gifts_from_after-sales,If_contacted_customer_service,Reason_contacting_customer_service,Customer_service_processing_efficiency,If_fixing,Number_of_fixing,Fixing_result,If_replacement,Replacement_result,If_return,Return_result,After-sales_processing_efficiency,After-sales_attitude,If_problems_solved,Product_model,If_price_changed_in_a_short_time,Changing_price,Compared_to_different_channel_prices,Price_gap,Product_functional_diversity,Energy_saving_index,Performance_index,Noise_situation,Aesthetics_performance,Intactness_performance,If_product_is_faulty,Fault_index,Ease_of_use,Brand_awareness_to_Haier,Awareness_to_product,Cost-effective_satisfaction,Reputation_and_price_satisfaction,Order_processing_satisfaction,Logistics_distribution_satisfaction,Installation_satisfaction,After-sales_service_satisfaction,Product_quality_satisfaction,Consistent_with_the_description_satisfaction,Compared_with_pre-purchase_expectations_satisfaction,Customer_satisfaction,Customer_satisfaction_level,Customer_complaints_index,Will_of_repurchase_the_same_brand_and_the_same_kind_of_product,Will_of_repurchase_the_same_brand,Recommended_to_buy_index
10,11,,银牌会员,高,微信购物,2016824  7:07:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,3,3,2,2,3,3,0,,3,3,3,2,3,3,3,2,,3,2,3,3,中评,3,1,2,2
11,12,福建,钻石会员,高,iphone客户端,2016827  6:34:00 PM,4,4,3,1,1,0,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,3,3,3,2,2,1,0,,3,2,2,2,3,3,2,3,,2,2,2,3,中评,3,1,1,1
12,13,河北,金牌会员,高,iphone客户端,20161020  11:41:00 AM,4,3,3,1,1,1,0,1,2,配送员安装,5.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,1,0,0,1,质量问题,5.0,1,1.0,1.0,0,,0.0,,5.0,2.0,1.0,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,1,3,3,3,3,3,1,4.0,1,1,1,1,3,3,3,2,4.0,1,1,1,1,差评,5,1,1,1
13,14,广东,金牌会员,高,iphone客户端,20161218  11:53:00 AM,4,4,4,0,1,1,0,1,2,次日,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,1,质量问题,1.0,1,1.0,0.0,1,1.0,0.0,,1.0,1.0,1.0,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,4,3,3,4,4,4,1,4.0,3,1,1,3,3,5,1,1,1.0,3,3,1,1,差评,4,1,1,1
14,15,北京,银牌会员,高,iphone客户端,20161119  12:29:00 PM,3,3,3,1,1,0,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,2.0,0,,,1,0.0,0.0,,1.0,2.0,0.0,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,3,3,3,3,3,1,0,,3,1,1,1,3,4,1,1,1.0,3,1,1,1,差评,3,1,1,1
15,16,浙江,金牌会员,高,android客户端,20161214  12:50:00 PM,5,5,5,1,1,1,1,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级,0,,0,,4,4,4,4,4,4,0,,4,5,5,5,3,5,5,5,,5,5,5,5,好评,1,4,5,5
16,17,,PLUS会员,高,iphone客户端,2017114  12:50:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级,0,,0,,5,3,3,3,5,3,0,,3,4,4,4,3,3,3,3,,5,5,4,5,好评,2,3,3,3
17,18,四川,PLUS会员,高,网页购物,20161114  8:15:00 PM,4,3,3,1,1,1,0,1,2,配送员安装,5.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级,0,,0,,3,3,3,3,3,3,0,,3,1,1,2,3,4,2,1,,4,4,3,2,中评,4,1,1,1
18,19,,钻石会员,高,iphone客户端,20161116  7:43:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级,0,,0,,4,4,4,5,5,4,0,,4,3,4,5,3,5,4,1,,5,5,4,2,中评,4,4,4,3
19,20,,银牌会员,高,iphone客户端,20161218  7:22:00 PM,3,2,1,0,1,1,0,1,2,配送员安装,5.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1,0,0,1,咨询赠品,2.0,0,,,0,,0.0,,2.0,2.0,1.0,海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级,0,,0,,4,4,4,4,4,4,0,,4,4,4,5,3,4,1,2,,5,5,3,3,中评,4,3,3,2
20,21,天津,金牌会员,低,android客户端,20161231  5:59:00 PM,4,3,3,1,1,1,0,1,4,配送员安装,5.0,3.0,4.0,4.0,4.0,1.0,1.0,0.0,1,0,1,1,售前咨询,5.0,0,,,0,,0.0,,5.0,5.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,3,3,2,3,3,3,4,5.0,3,3,4,5,好评,1,3,3,3
21,22,福建,钻石会员,低,iphone客户端,20161231  10:18:00 PM,4,4,4,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,1.0,0,,,1,1.0,0.0,,1.0,3.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,1,5.0,3,3,3,3,3,3,2,3,1.0,2,4,4,5,好评,3,2,2,2
22,23,,银牌会员,低,android客户端,2017113  10:59:00 AM,3,3,4,1,1,1,1,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,4,0,,3,5,5,4,3,3,5,5,,5,5,5,5,好评,1,5,5,5
23,24,广东,银牌会员,低,android客户端,201711  8:35:00 PM,3,3,4,1,1,1,0,1,4,配送员安装,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,2,0,,3,3,3,3,3,3,4,3,,2,3,3,5,好评,3,2,3,2
24,25,辽宁,金牌会员,低,android客户端,2017115  8:42:00 PM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,5,3,5,3,3,3,0,,4,5,5,5,3,3,3,3,,5,5,5,5,好评,1,5,5,5
25,26,江苏,银牌会员,低,android客户端,2017115  12:51:00 AM,2,3,3,1,1,1,0,1,4,配送员安装,5.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,4,4,4,4,4,4,0,,4,5,5,5,3,5,5,5,,5,5,5,5,好评,1,5,5,5
26,27,湖北,银牌会员,低,iphone客户端,201713  4:39:00 PM,4,3,4,1,1,1,0,1,3,配送员安装,5.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,1,300.0,4,3,3,3,3,3,0,,3,5,5,4,4,4,4,4,,4,5,5,5,好评,1,5,5,5
27,28,山东,钻石会员,低,android客户端,2017113  12:49:00 PM,3,4,4,1,1,1,0,1,4,配送员安装,5.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,5,2,4,3,3,3,0,,1,5,5,4,3,5,5,5,,3,4,4,5,好评,2,4,5,3
28,29,,钻石会员,低,iphone客户端,201711  2:08:00 PM,5,5,5,1,1,1,0,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,4,3,3,3,3,3,0,,4,3,4,5,3,5,5,5,,5,5,5,5,好评,1,5,5,5
29,30,北京,金牌会员,低,iphone客户端,201718  10:02:00 AM,4,5,5,1,1,1,0,1,3,配送员安装,5.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,4,2,5,3,3,0,,3,3,2,5,3,5,5,5,,4,4,4,5,好评,2,4,4,4
30,31,广东,银牌会员,低,android客户端,2017114  9:29:00 AM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,5,3,2,0,,3,3,5,3,3,3,3,3,,3,3,3,5,好评,3,2,2,3
31,32,新疆,钻石会员,低,android客户端,201719  12:09:00 PM,4,3,3,1,1,1,0,1,3,次日,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,预约安装,4.0,0,,,0,,0.0,,3.0,3.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,5,3,3,3,3,3,0,,1,3,3,4,3,4,4,4,3.0,4,4,4,5,好评,1,3,4,3
32,33,北京,钻石会员,低,iphone客户端,2017115  10:22:00 PM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,2,3,3,3,1,2.0,3,2,2,3,4,3,3,3,3.0,2,2,2,3,中评,4,1,1,1
33,34,,铜牌会员,低,iphone客户端,2016123  3:52:00 PM,3,3,3,0,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,5.0,0,,,0,,0.0,,5.0,5.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,1,100.0,1,400.0,3,3,2,3,3,3,1,3.0,3,1,1,4,1,4,3,4,5.0,1,2,2,3,中评,3,2,3,1
34,35,,铜牌会员,低,iphone客户端,201719  7:03:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,1,200.0,3,3,2,3,5,3,0,,3,3,3,4,4,3,3,3,,2,3,3,3,中评,2,3,2,2
35,36,广东,银牌会员,低,android客户端,2017118  12:25:00 PM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,2,3,3,3,3,3,0,,1,2,1,2,3,3,3,3,,1,2,1,3,中评,4,1,3,1
36,37,,银牌会员,低,android客户端,2017114  11:44:00 AM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,2,1,0,,3,2,2,3,3,3,3,3,,2,3,2,3,中评,2,1,3,2
37,38,北京,钻石会员,低,iphone客户端,201713  10:10:00 AM,3,3,3,0,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,1,400.0,3,3,1,3,3,3,0,,3,1,1,3,3,2,3,3,,1,1,1,3,中评,4,1,1,1
38,39,陕西,金牌会员,低,android客户端,2016127  12:47:00 PM,4,2,2,0,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,2,3,3,3,0,,3,3,3,3,3,2,2,3,,2,2,2,3,中评,3,2,2,2
39,40,上海,钻石会员,低,android客户端,2016128  7:10:00 AM,2,3,3,1,1,0,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,1,0,,2,2,3,3,2,3,2,3,,2,2,1,2,中评,4,1,1,1
40,41,吉林,银牌会员,低,android客户端,20161126  5:12:00 PM,3,3,3,1,1,1,0,1,4,配送员安装,5.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,1,0,0,1,质量问题,5.0,1,1.0,1.0,0,,0.0,,5.0,5.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,1,1.0,3,3,2,3,3,3,3,4,4.0,3,3,3,3,中评,2,1,3,2
41,42,山东,金牌会员,低,android客户端,2017111  10:00:00 AM,4,3,3,1,1,0,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,1,3,1,3,3,1,0,,3,3,1,1,3,3,3,3,,1,2,2,3,中评,3,1,3,1
42,43,,银牌会员,低,微信购物,2017116  11:19:00 AM,4,4,3,1,1,1,0,1,3,配送员安装,5.0,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,2.0,0,,,0,,0.0,,2.0,1.0,0.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,1,3,3,1,2.0,3,1,1,3,3,3,3,3,1.0,1,2,2,3,中评,4,1,2,1
43,44,山西,金牌会员,低,android客户端,201714  10:36:00 AM,4,4,4,1,0,1,0,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1,1,0,1,物流配送,5.0,0,,,1,1.0,0.0,,5.0,5.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,2,3,3,3,0,,3,2,3,3,3,4,1,3,5.0,2,2,2,3,中评,2,1,3,2
44,45,广东,银牌会员,低,android客户端,20161215  12:07:00 AM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,3.0,0,,,1,1.0,0.0,,3.0,3.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,1,3,3,1,4.0,3,3,1,2,3,4,4,4,3.0,1,1,1,3,中评,4,1,2,1
45,46,广西,钻石会员,低,iphone客户端,201715  7:38:00 PM,4,4,3,1,1,1,0,1,3,无安装服务,,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,预约安装,1.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,2,3,3,3,2,4,3,1.0,3,3,2,3,中评,3,2,2,2
46,47,海南,钻石会员,低,android客户端,2017120  6:14:00 PM,2,4,3,1,1,1,0,1,3,配送员安装,5.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,2,3,3,3,0,,3,2,2,3,3,4,4,2,,3,3,3,3,中评,3,3,3,3
47,48,湖北,金牌会员,低,android客户端,201712  4:49:00 PM,3,3,3,1,1,1,0,1,3,无安装服务,,,,,,,,,1,0,0,1,预约安装,1.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,1,2,2,3,3,3,1,1.0,3,3,1,3,中评,4,1,1,1
48,49,,银牌会员,低,iphone客户端,2017113  11:45:00 PM,5,5,5,1,1,1,0,1,4,无安装服务,,,,,,,,,1,0,0,1,预约安装,1.0,0,,,0,,0.0,,1.0,2.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,2,2,2,3,4,4,1,1.0,3,3,2,3,中评,3,2,2,2
49,50,黑龙江,银牌会员,低,网页购物,201714  8:38:00 PM,5,5,5,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,3.0,1,1.0,1.0,0,,0.0,,3.0,3.0,1.0,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,1,1,3.0,3,1,1,2,3,4,4,3,3.0,1,2,1,3,中评,4,2,2,2
50,51,北京,钻石会员,低,iphone客户端,2017118  7:53:00 AM,4,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,2,3,2,5,3,3,0,,3,3,2,3,3,3,3,3,,3,1,1,3,中评,4,1,3,1
51,52,,钻石会员,低,android客户端,20161210  10:13:00 PM,3,3,3,1,1,1,0,1,1,配送员安装,5.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,1,1,3,3,3,3,1,1.0,3,3,2,3,中评,3,3,2,2
52,53,广东,银牌会员,低,iphone客户端,2016123  12:31:00 PM,4,3,3,1,0,1,1,0,2,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 7.2公斤直驱变频波轮全自动洗衣机 静音洗涤 特色消毒洗 EB72BM2JD,0,,0,,3,3,3,3,3,3,0,,3,3,3,3,3,2,1,3,,3,2,1,1,差评,5,2,1,2
