nickname,userProvince,userLevelName,userClientShow,isMobile,score,creationTime,referenceTime,days,referenceId,content
黄***5,河北,银牌会员,来自京东Android客户端,TRUE,5,2016/12/2 22:25,2016/11/28 0:34,4,1665416,质是可以！海尔总部男客服很好，解答各种问题耐心超给力！海尔女客服！sb差差差！海尔总部女客服太不专业！并且抢话！不听顾客说明问题！却少耐心！可能是因为怀孕了吧！情绪不佳！理解！
平***宁,,PLUS会员,,FALSE,5,2016/11/16 16:59,2016/11/11 1:27,5,1665416,我是双十一买的，双十一价格还是很便宜的，安装师傅很专业，把功能都说了，很是热情，支持国产的应该，性能好，价格优，这款洗衣功能和烘干功能都不错，也很安静，滚筒的省水省电一级能耗比，上排水的设计好不用改装地漏直接放到旁边的地盆里就可以了，买家电就来京东。
c***o,广东,钻石会员,来自京东Android客户端,TRUE,5,2016/11/14 16:40,2016/11/11 0:19,3,1665416,已经送到。物流速度还可以，服务有待进一步提高。价格给力，洗衣机看着跟高档，烘干功能还没开始用，等着惊喜。
j***p,,银牌会员,,FALSE,5,2016/11/10 17:15,2016/11/5 21:25,5,1665416,这么便宜的价格卖到这台洗衣机还是很值得的，这么便宜的价格还带烘干功能很值，衣服洗吧脱水后比较蓬松，不会有太多褶皱，不伤衣服，值得大家购买，海尔大品牌值得信赖，准备在入手一台海尔冰箱的！目前洗衣机一些功能还没有用上，过段时间再来追平
j***w,,银牌会员,,FALSE,5,2016/11/26 23:41,2016/11/10 1:21,16,1665416,品质超级好，安静，洗衣干净，对于空气湿度大于衣服湿度，衣服永远晾不干的，简直是救星般的存在。而且服务好，家里所有电器都是在这海尔的。
冷***伤,,钻石会员,来自京东iPhone客户端,TRUE,5,2016/12/29 13:51,2016/12/26 16:05,3,1665416,送货速度很快。安装师傅也专业。还让师傅等了十几分钟，真是不好意思。京东还是比较相信的。
落***霜,浙江,金牌会员,来自京东iPhone客户端,TRUE,5,2017/1/4 23:35,2016/12/12 23:59,23,1665416,试用了几次，功能齐全，脱水声音大，其他没发现什么问题，全5分
c***1,,金牌会员,,FALSE,5,2016/12/1 11:31,2016/11/11 1:48,20,1665416,双11买的，价格超级给力，，送货上门，专业人士上门安装，服务非常到位，洗衣机功能非常齐全，可以满足多种需要，烘干的衣服穿起来非常舒服，容量也很大，洗衣服超级快，非常赞
h***8,四川,银牌会员,来自京东Android客户端,TRUE,5,2017/1/7 19:52,2017/1/3 21:10,4,1665416,品牌就是品牌，服务安装都是一流，支持国产，国产加油！
j***狐,黑龙江,金牌会员,来自京东Android客户端,TRUE,5,2016/11/10 7:58,2016/11/1 0:18,9,1665416,送货很快，用了几次，声音很小，烘干效果很好，很满意的一次购物。
人***妙,广东,金牌会员,,FALSE,5,2017/1/26 17:03,2017/1/16 10:46,10,1665416,大品牌，信得过!冰箱也是买海尔
j***h,,银牌会员,,FALSE,5,2016/11/10 18:02,2016/11/5 21:35,5,1665416,衣机试运行效果非常好，噪音震动都比较小，并且功能强大。物流运输挺快的，日日顺师傅态度非常好，主动给安装，唯一小瑕疵是安装拆箱未装防溅板和毛毡。后来我自己看说明书又在箱子里面找到安装的。这个还是要注意一下的
j***c,,金牌会员,来自京东Android客户端,TRUE,5,2016/12/3 4:45,2016/11/11 0:07,22,1665416,声音小，洗的干净，一直信赖海尔这个大品牌
m***8,,银牌会员,,FALSE,5,2016/11/12 18:06,2016/11/10 16:11,2,1665416,双十一买的，送货员服务也很好，很快就安装好了。自己第一次用滚筒的洗衣机，相比以前用的波轮洗衣声音不大，不过时间稍长(是正常情况)。这次购物东西还很满意
j***w,福建,钻石会员,来自京东Android客户端,TRUE,5,2016/12/8 15:32,2016/11/10 22:51,28,1665416,送货安装服务很好，愉快的购物体验。
l***1,北京,金牌会员,,FALSE,5,2016/11/16 9:24,2016/11/11 0:15,5,1665416,洗衣机不错，很漂亮，安装师傅也很专业~
傍***眼,黑龙江,钻石会员,,FALSE,5,2016/11/27 14:36,2016/11/11 1:59,16,1665416,配送时候让我在家等了一天，一天没有联系我。只能说日日顺找的搬家公司太不负责了。安装时候很快。洗衣机洗衣服时候生硬还是能听到的。而且甩干时候声音也不小，但毕竟是洗衣机，有声音正常。
小罗教练,宁夏,金牌会员,来自京东iPhone客户端,TRUE,5,2016/11/16 14:11,2016/11/4 0:19,12,1665416,好，物流速度快，态度好，卖家也给力
j***9,广东,钻石会员,来自京东iPhone客户端,TRUE,5,2016/11/17 12:38,2016/11/11 11:43,6,1665416,刚收到还没用，看起来不错。
j***t,,银牌会员,,FALSE,5,2016/11/10 17:55,2016/11/5 21:34,5,1665416,看到海尔这台洗衣机后真是眼前一亮：静音电机，有烘干功能，可以洗羽绒衣。我要的都能得到满足，而且价格还十分公道。如果是其他牌子至少也得4、5K。再说，海尔也是大牌子，又是京东直接发货，质量和服务都有保障。家里一台热水器也是这海尔的，当时就觉得非常不错，性价比很高。所以这次年中庆看到店铺有活动，京东也有活动，选择了海尔这台洗衣机。收到货后也相当满意
j***吉,,PLUS会员[试用],,FALSE,5,2016/11/20 22:11,2016/11/5 19:23,15,1665416,双十一价格还是很给力的，我觉得买支持国产的更好。性能比外国的不差，信价比也高。这款洗衣功能和烘干功能都不错，也很安静，烘干衣服的量不能太多4KG，时间有点长2个半小时，但是效果还可以抖一抖就可以的了。
非洲小倩,,银牌会员,,FALSE,5,2016/11/18 16:19,2016/11/10 23:54,8,1665416,我对比了三星，LG，美的，小天鹅等多个品牌后终于选了海尔，性价比特别高，而且节日优惠很多，首先动力很足，功率大，而且能烘干，关键跟其他品牌对比后发现特别省水，安装人员态度也很好。
跟***东,上海,钻石会员,来自京东Android客户端,TRUE,5,2017/1/26 15:09,2017/1/21 17:41,5,1665416,洗衣机很好用，特别值得一提的是声音很小。京东明明说第二天送货到家的，可是实实在在晚了两天，耽误好多时间。就物流不太满意
啵***帅,,银牌会员,,FALSE,5,2016/11/13 11:33,2016/11/11 11:48,2,1665416,送货真快 第二天就到了 而且售后很贴心 会打电话询问货到没到帮忙催货 双十一买的真心便宜好多  这款功能我比较了几款真心不错 海尔毕竟是老牌子了 值得信赖 晒下货和师傅安装 喜欢
j***h,,银牌会员,,FALSE,5,2016/11/11 11:10,2016/11/5 17:24,6,1665416,"洗衣干净 洗衣效果好 噪音很小 物美价廉
挺赞的，洗衣机声音不大，使用也简单，而且哪里出了小问题它也会用声音提示处理。整体来说还是一款挺好、挺智能的洗衣机。可以自动称量衣服的重量，判断用的水量，时长，烘干的时候也会根据衣服的干湿程度自动结束。而且洗出来的衣服不会捆在一起，是一件一件的挺柔顺。挺好"
m***b,四川,钻石会员,来自京东iPhone客户端,TRUE,5,2016/11/11 18:50,2016/11/10 0:03,1,1665416,这个洗衣机有烘干功能，价格也很便宜，今天刚刚送来，双11的抢购的，看着真心不错哈！而且颜色又耐脏，比其他平台的的要便宜几大百哦，所以是相当划算的了！这下娃娃的衣服冬天可以烘干了！
c***g,广东,钻石会员,,FALSE,5,2016/11/15 11:12,2016/11/5 13:11,10,1665416,第一次用滚筒洗衣机，感觉还可以，烘干效果还可以，但是声音有点大，不过可以接受。洗衣比较节约水，但是烘干时间比较长，洗烘3小时，拿出来就可以直接穿，用来洗床单被套还是非常不错，省去了晒的过程。
j***z,,金牌会员,,FALSE,5,2016/11/26 23:54,2016/11/10 1:25,16,1665416,产品质量杠杠的，海尔大品牌质量没的说，回来就开始用了，容量超大，机体自重150斤，很稳无一点震动，声音超静，老婆买的，确实给了我一个惊喜。 商家服务很好，送货上楼，产品大进不了洗衣间小门折腾半天也没说什么，辛苦了。还有赠品
1***a,广东,金牌会员,,FALSE,5,2016/12/2 20:16,2016/11/25 0:08,7,1665416,洗衣机非常不错我和家里人都非常满意特别赞
j***1,浙江,钻石会员,,FALSE,5,2016/11/18 13:24,2016/11/10 10:42,8,1665416,一开始就确定了选择海尔，也非常信赖京东自营产品，想着偶尔也许用得上的功能，再适逢双十一大促，几相结合，接凑成了此一下单。送货之前进行了确认，一切都比较顺利。正好之前海尔的售后给单位空调做保养，所以知道售后可靠。机器噪音在可以接受的范围内，总体来说，确实靠谱，没有选错哈。
p***9,广东,钻石会员,来自京东Android客户端,TRUE,5,2016/12/3 20:03,2016/11/11 9:35,22,1665416,海尔的产品质量挺好，8公升的容量感觉一般。上门安装师傅技能熟练，态度好，不推销。售后服务跟踪很及时。产品试用，洗涤效果还可以，静音。支持海尔。
源***技,广东,银牌会员,,FALSE,5,2017/2/6 9:45,2016/12/1 8:46,67,1665416,送货师傅很热情，很准时，安装也特别到位，讲解的很清楚。注意事项都讲了，并且开机试了下机器，机器噪音很小，这次购物体验很不错。好评！
jd_namc,广东,银牌会员,来自京东Android客户端,TRUE,5,2016/11/14 21:26,2016/11/10 19:15,4,1665416,洗衣机很好，家里人都满意，洗衣跟烘干的效果棒棒哒，还要赞一下送货的师傅把洗衣机背上四楼，辛苦了，很好的一次购物体验，以后还会支持海尔和京东！
j***2,广东,金牌会员,,FALSE,5,2017/1/17 10:37,2017/1/11 13:38,6,1665416,大家电都是京东买的，一直信赖海尔这个大品牌，收到货很惊喜，趁活动买的，物美价廉，性价比超高，特别赞！很愉快的一次购物！
j***c,甘肃,银牌会员,来自京东Android客户端,TRUE,5,2017/2/8 20:06,2017/2/5 11:20,3,1665416,物流挺快 安装小哥很负责 很快就装好了 衣服床单烘干就可以直接用了 脱水时候声音有点大 不过还可以接受 好评
纷***域,上海,钻石会员,,FALSE,5,2016/12/12 16:07,2016/11/25 1:05,17,1665416,第一次送来一个坏的，报换后，海尔隔天送个新的，还好第二个没什么问题！不过烘干时间有点长要2个多小时，有的衣服没有完全干，还得晒一会，总体来说还是挺不错的
j***f,上海,银牌会员,,FALSE,5,2016/11/28 9:55,2016/11/11 9:41,17,1665416,物流是非常给力的，双11下单的，19号就已送达，海尔的东西感觉包装非常到位，冰箱、空调、抽油烟机都用的是海尔，而且都是京东下单，房子目前在装修，放在厨房间里面，空间大小刚好合适，机器看着不错，感觉不错，等洗完效果做评估在评论
j***e,,银牌会员,来自京东iPhone客户端,TRUE,5,2017/1/18 17:54,2017/1/1 18:10,17,1665416,东西包装的很不错，让我很满意，拆开看了很不错，还没有来的及安装，可是我真的感觉功能很强大！我很喜欢，关键是海尔的机器，让我值得信任
不***儿,,PLUS会员,,FALSE,5,2016/11/17 13:41,2016/11/10 21:57,7,1665416,买家印象洗衣机不错洗衣效果好洗衣干净操作简单占空间小宝宝专用全自动不错脱水声音小
j***y,,银牌会员,,FALSE,5,2017/1/28 19:12,2017/1/21 17:18,7,1665416,质量很好，洗的很干净，又没有声音，而且洗的很快，大家值得去买哦。
s***e,河南,钻石会员,来自京东Android客户端,TRUE,5,2016/12/26 20:17,2016/12/26 0:07,0,1665416,非常好的洗衣机，快递发货速度快的惊人，凌晨买，晚上到了就装！算20小时内吧！试用一段时间再详细评测！
j***f,辽宁,钻石会员,来自京东Android客户端,TRUE,5,2016/11/10 22:36,2016/11/4 9:30,6,1665416,洗衣机真心不错，功能强大，安装师傅也很负责，还教我使用。安装很有责任心。用了两次，效果都不错，噪音也不大。听说还能返话费哦，期待。
j***r,,银牌会员,来自京东Android客户端,TRUE,4,2016/12/31 8:42,2016/12/12 23:57,19,1665416,物流很快，安装师傅也很给力，送货和安装一体，外观好看，只是插头有点缺陷，不影响使用，还可以，还没使用所有功能，希望给力
8***成,,金牌会员,来自京东Android客户端,TRUE,5,2016/11/14 18:18,2016/11/10 13:38,4,1665416,京东物流很快，海尔洗衣机质量好，洗出来的衣服很干净。家里用的电器多数是海尔的，支持国货，以后还购买海尔电器。
j***m,,金牌会员,,FALSE,5,2016/12/6 17:19,2016/10/22 12:46,45,1665416,脱水3小时，好在脱水很干，不存在潮湿的情况，操作简单易上手，买给家里长辈说很不错
y***2,四川,PLUS会员,来自京东Android客户端,TRUE,5,2016/11/13 13:51,2016/11/11 0:02,2,1665416,虽然是11号下的单，但是昨天就开始跟我预约送货时间，速度没话硕，非常给力。另外双十一价格也非常便宜，各种卷还用的飞起，比之前省了不少。宝宝到了也非常完好，确认是正品，没毛病，非常愉快的购物，以后再来
